
strips-gripper-x-1,STAN,46,11,
strips-gripper-x-1,IPP,50,15,
strips-gripper-x-1,BLACKBOX,113,11,
strips-gripper-x-1,HSP,2007,13,
strips-gripper-x-2,IPP,380,23,
strips-gripper-x-2,STAN,1075,17,
strips-gripper-x-2,HSP,2150,21,
strips-gripper-x-2,BLACKBOX,7820,17,
strips-gripper-x-3,HSP,2485,31,
strips-gripper-x-3,IPP,3270,31,
strips-gripper-x-3,STAN,54693,23,
strips-gripper-x-4,HSP,3060,37,
strips-gripper-x-4,IPP,26680,39,
strips-gripper-x-4,STAN,3038381,29,
strips-gripper-x-5,HSP,3320,47,
strips-gripper-x-5,IPP,226460,47,
strips-gripper-x-5,STAN,3600100,-1,
strips-gripper-x-6,HSP,3779,53,
strips-gripper-x-6,STAN,3600413,-1,
strips-gripper-x-7,HSP,4797,63,
strips-gripper-x-7,STAN,3600862,-1,
strips-gripper-x-8,HSP,5565,71,
strips-gripper-x-8,STAN,3600935,-1,
strips-gripper-x-9,HSP,6675,79,
strips-gripper-x-9,STAN,3605896,-1,
strips-gripper-x-10,HSP,7583,85,
strips-gripper-x-10,STAN,3602702,-1,
strips-gripper-x-11,HSP,9060,93,
strips-gripper-x-11,STAN,3600646,-1,
strips-gripper-x-12,HSP,10617,101,
strips-gripper-x-12,STAN,3600893,-1,
strips-gripper-x-13,HSP,12499,109,
strips-gripper-x-13,STAN,3600621,-1,
strips-gripper-x-14,HSP,15050,119,
strips-gripper-x-14,STAN,3600735,-1,
strips-gripper-x-15,HSP,16886,125,
strips-gripper-x-15,STAN,3600666,-1,
strips-gripper-x-16,HSP,20084,135,
strips-gripper-x-16,STAN,3600684,-1,
strips-gripper-x-17,HSP,23613,143,
strips-gripper-x-17,STAN,3600716,-1,
strips-gripper-x-18,HSP,26973,151,
strips-gripper-x-18,STAN,3600689,-1,
strips-gripper-x-19,HSP,29851,157,
strips-gripper-x-19,STAN,3600699,-1,
strips-gripper-x-20,HSP,33210,165,
strips-gripper-x-20,STAN,3600687,-1,
strips-log-x-1,STAN,767,27,
strips-log-x-1,IPP,900,26,
strips-log-x-1,BLACKBOX,2062,27,
strips-log-x-1,HSP,79682,43,
strips-log-x-2,STAN,4319,32,
strips-log-x-2,BLACKBOX,6436,32,
strips-log-x-2,HSP,97114,44,
strips-log-x-5,IPP,2400,24,
strips-log-x-5,HSP,14413,26,
strips-log-x-5,STAN,364932,29,
strips-log-x-7,HSP,788914,112,
strips-log-x-7,STAN,15973,-1,
strips-log-x-11,BLACKBOX,6544,32,
strips-log-x-11,IPP,6940,33,
strips-log-x-11,STAN,12806,34,
strips-log-x-11,HSP,86195,30,
strips-movie-x-1,IPP,10,7,
strips-movie-x-1,BLACKBOX,11,7,
strips-movie-x-1,STAN,19,7,
strips-movie-x-1,HSP,2121,7,
strips-movie-x-2,IPP,10,7,
strips-movie-x-2,BLACKBOX,12,7,
strips-movie-x-2,STAN,18,7,
strips-movie-x-2,HSP,2104,7,
