
strips-grid-y-1,STAN,2505,14,
strips-grid-y-1,IPP,4650,20,
strips-grid-y-1,BLACKBOX,12153,14,
strips-grid-y-1,HSP,9329,24,
strips-grid-y-2,IPP,13900,31,
strips-grid-y-2,BLACKBOX,6000,-1,
strips-grid-y-2,STAN,73902,-1,
strips-grid-y-4,IPP,84290,47,
strips-grid-y-4,BLACKBOX,6000,-1,
strips-grid-y-4,STAN,105284,-1,
strips-log-y-1,STAN,121,13,
strips-log-y-1,IPP,180,13,
strips-log-y-1,BLACKBOX,502,13,
strips-log-y-1,HSP,4314,13,
strips-log-y-2,STAN,188,20,
strips-log-y-2,IPP,260,20,
strips-log-y-2,BLACKBOX,574,20,
strips-log-y-2,HSP,5266,27,
strips-log-y-3,STAN,414,27,
strips-log-y-3,IPP,580,27,
strips-log-y-3,BLACKBOX,894,27,
strips-log-y-3,HSP,10494,32,
strips-log-y-4,HSP,170394,59,
strips-log-y-4,BLACKBOX,6000,-1,
strips-log-y-4,STAN,600096,-1,
strips-log-y-5,IPP,66170,31,
strips-log-y-5,BLACKBOX,6000,-1,
strips-log-y-5,STAN,600858,-1,
strips-mprime-y-1,BLACKBOX,876,5,
strips-mprime-y-1,STAN,933,5,
strips-mprime-y-1,IPP,4110,5,
strips-mprime-y-1,HSP,7259,4,
strips-mprime-y-2,BLACKBOX,2537,7,
strips-mprime-y-2,IPP,2680,8,
strips-mprime-y-2,STAN,4806,9,
strips-mprime-y-2,HSP,12843,8,
strips-mprime-y-4,STAN,373,5,
strips-mprime-y-4,BLACKBOX,1684,5,
strips-mprime-y-4,HSP,8357,4,
strips-mprime-y-4,IPP,11400,4,
strips-mprime-y-5,BLACKBOX,499,6,
strips-mprime-y-5,IPP,2910,6,
strips-mprime-y-5,HSP,4624,6,
