competition, planner, domain, pn, steps, time
IPC2002, MIPS.plain, Depots, pfile16, 32, 250319
IPC2002, SHOP2, Depots, pfile1, 11, 0
IPC2002, SHOP2, Depots, pfile2, 16, 10
IPC2002, SHOP2, Depots, pfile3, 28, 20
IPC2002, SHOP2, Depots, pfile4, 39, 20
IPC2002, SHOP2, Depots, pfile5, 49, 30
IPC2002, SHOP2, Depots, pfile6, 61, 60
IPC2002, SHOP2, Depots, pfile7, 23, 20
IPC2002, SHOP2, Depots, pfile8, 59, 50
IPC2002, SHOP2, Depots, pfile9, 76, 70
IPC2002, SHOP2, Depots, pfile10, 30, 20
IPC2002, SHOP2, Depots, pfile11, 49, 40
IPC2002, SHOP2, Depots, pfile12, 81, 80
IPC2002, SHOP2, Depots, pfile13, 27, 20
IPC2002, SHOP2, Depots, pfile14, 43, 40
IPC2002, SHOP2, Depots, pfile15, 74, 90
IPC2002, SHOP2, Depots, pfile16, 32, 20
IPC2002, SHOP2, Depots, pfile17, 34, 30
IPC2002, SHOP2, Depots, pfile18, 78, 70
IPC2002, SHOP2, Depots, pfile19, 39, 30
IPC2002, SHOP2, Depots, pfile20, 77, 80
IPC2002, SHOP2, Depots, pfile21, 34, 30
IPC2002, SHOP2, Depots, pfile22, 98, 140
IPC2002, SHOP2.quality, Depots, pfile1, 10, 0
IPC2002, SHOP2.quality, Depots, pfile2, 16, 40
IPC2002, SHOP2.quality, Depots, pfile3, 27, 80
IPC2002, SHOP2.quality, Depots, pfile4, 37, 1220
IPC2002, SHOP2.quality, Depots, pfile5, 49, 1730
IPC2002, SHOP2.quality, Depots, pfile6, 61, 350
IPC2002, SHOP2.quality, Depots, pfile7, 23, 40
IPC2002, SHOP2.quality, Depots, pfile8, 56, 100000
IPC2002, SHOP2.quality, Depots, pfile9, 69, 100000
IPC2002, SHOP2.quality, Depots, pfile10, 30, 2690
IPC2002, SHOP2.quality, Depots, pfile11, 47, 3440
IPC2002, SHOP2.quality, Depots, pfile12, 78, 100000
IPC2002, SHOP2.quality, Depots, pfile13, 27, 70
IPC2002, SHOP2.quality, Depots, pfile14, 36, 100000
IPC2002, SHOP2.quality, Depots, pfile15, 66, 100000
IPC2002, SHOP2.quality, Depots, pfile16, 30, 100000
IPC2002, SHOP2.quality, Depots, pfile17, 32, 100000
IPC2002, SHOP2.quality, Depots, pfile18, 78, 100000
IPC2002, SHOP2.quality, Depots, pfile19, 39, 100000
IPC2002, SHOP2.quality, Depots, pfile20, 75, 100000
IPC2002, SHOP2.quality, Depots, pfile21, 34, 100000
IPC2002, SHOP2.quality, Depots, pfile22, 99, 100000
IPC2002, SemSyn, Depots, pfile1, 10, 451
IPC2002, SemSyn, Depots, pfile2, 15, 105798
IPC2002, Simplanner, Depots, pfile1, 11, 0
IPC2002, Simplanner, Depots, pfile2, 16, 9
IPC2002, Simplanner, Depots, pfile3, 31, 159
IPC2002, Simplanner, Depots, pfile4, 52, 110
IPC2002, Simplanner, Depots, pfile5, 196, 3220
IPC2002, Simplanner, Depots, pfile6, 92, 2829
IPC2002, Simplanner, Depots, pfile7, 27, 90
IPC2002, Simplanner, Depots, pfile8, 47, 370
IPC2002, Simplanner, Depots, pfile9, 187, 8889
IPC2002, Simplanner, Depots, pfile10, 26, 129
IPC2002, Simplanner, Depots, pfile11, 80, 1980
IPC2002, Simplanner, Depots, pfile12, 140, 22870
IPC2002, Simplanner, Depots, pfile13, 28, 160
IPC2002, Simplanner, Depots, pfile14, 50, 859
IPC2002, Simplanner, Depots, pfile15, 99, 42059
IPC2002, Simplanner, Depots, pfile16, 38, 250
IPC2002, Simplanner, Depots, pfile17, 31, 1819
IPC2002, Simplanner, Depots, pfile18, 112, 39850
IPC2002, Simplanner, Depots, pfile19, 47, 1179
IPC2002, Simplanner, Depots, pfile20, 101, 34280
IPC2002, Simplanner, Depots, pfile21, 37, 16490
IPC2002, Simplanner, Depots, pfile22, 141, 535179
IPC2002, Stella, Depots, pfile1, 11, 539
IPC2002, Stella, Depots, pfile2, 16, 970
IPC2002, Stella, Depots, pfile3, 33, 2430
IPC2002, Stella, Depots, pfile13, 30, 4010
IPC2002, TALPlanner, Depots, pfile1, 11, 50
IPC2002, TALPlanner, Depots, pfile2, 16, 30
IPC2002, TALPlanner, Depots, pfile3, 29, 50
IPC2002, TALPlanner, Depots, pfile4, 32, 40
IPC2002, TALPlanner, Depots, pfile5, 49, 70
IPC2002, TALPlanner, Depots, pfile6, 60, 60
IPC2002, TALPlanner, Depots, pfile7, 22, 40
IPC2002, TALPlanner, Depots, pfile8, 34, 40
IPC2002, TALPlanner, Depots, pfile9, 66, 30
IPC2002, TALPlanner, Depots, pfile10, 26, 30
IPC2002, TALPlanner, Depots, pfile11, 50, 40
IPC2002, TALPlanner, Depots, pfile12, 64, 60
IPC2002, TALPlanner, Depots, pfile13, 25, 40
IPC2002, TALPlanner, Depots, pfile14, 32, 20
IPC2002, TALPlanner, Depots, pfile15, 64, 50
IPC2002, TALPlanner, Depots, pfile16, 28, 20
IPC2002, TALPlanner, Depots, pfile17, 28, 40
IPC2002, TALPlanner, Depots, pfile18, 64, 50
IPC2002, TALPlanner, Depots, pfile19, 43, 30
IPC2002, TALPlanner, Depots, pfile20, 73, 40
IPC2002, TALPlanner, Depots, pfile21, 36, 20
IPC2002, TALPlanner, Depots, pfile22, 90, 40
