com,domain,planner,cdkey,akey,gn,pkey,fkey,solved,steps,time
IPC2002,Depots,LPG,IPC2002-Depots,IPC2002-Depots-LPG,depotprob7512,IPC2002-Depots-depotprob7512,IPC2002-Depots-LPG-depotprob7512,1,15,40
IPC2002,Depots,LPG,IPC2002-Depots,IPC2002-Depots-LPG,depotprob1935,IPC2002-Depots-depotprob1935,IPC2002-Depots-LPG-depotprob1935,1,28,60
IPC2002,Depots,LPG,IPC2002-Depots,IPC2002-Depots-LPG,depotprob6512,IPC2002-Depots-depotprob6512,IPC2002-Depots-LPG-depotprob6512,1,31,250
IPC2002,Depots,LPG,IPC2002-Depots,IPC2002-Depots-LPG,depotprob1212,IPC2002-Depots-depotprob1212,IPC2002-Depots-LPG-depotprob1212,1,74,75460
IPC2002,Depots,LPG,IPC2002-Depots,IPC2002-Depots-LPG,depotprob1234,IPC2002-Depots-depotprob1234,IPC2002-Depots-LPG-depotprob1234,1,23,180
IPC2002,Depots,LPG,IPC2002-Depots,IPC2002-Depots-LPG,depotprob4321,IPC2002-Depots-depotprob4321,IPC2002-Depots-LPG-depotprob4321,1,37,4170
IPC2002,Depots,LPG,IPC2002-Depots,IPC2002-Depots-LPG,depotprob5451,IPC2002-Depots-depotprob5451,IPC2002-Depots-LPG-depotprob5451,1,84,3180
IPC2002,Depots,LPG,IPC2002-Depots,IPC2002-Depots-LPG,depotprob18180,IPC2002-Depots-depotprob18180,IPC2002-Depots-LPG-depotprob18180,1,24,1170
IPC2002,Depots,LPG,IPC2002-Depots,IPC2002-Depots-LPG,depotprob18181,IPC2002-Depots-depotprob18181,IPC2002-Depots-LPG-depotprob18181,1,49,23490
IPC2002,Depots,LPG,IPC2002-Depots,IPC2002-Depots-LPG,depotprob18182,IPC2002-Depots-depotprob18182,IPC2002-Depots-LPG-depotprob18182,1,94,114920
IPC2002,Depots,LPG,IPC2002-Depots,IPC2002-Depots-LPG,depotprob18183,IPC2002-Depots-depotprob18183,IPC2002-Depots-LPG-depotprob18183,1,25,140
IPC2002,Depots,LPG,IPC2002-Depots,IPC2002-Depots-LPG,depotprob18184,IPC2002-Depots-depotprob18184,IPC2002-Depots-LPG-depotprob18184,1,32,4420
IPC2002,Depots,LPG,IPC2002-Depots,IPC2002-Depots-LPG,depotprob18185,IPC2002-Depots-depotprob18185,IPC2002-Depots-LPG-depotprob18185,1,90,5450
IPC2002,Depots,LPG,IPC2002-Depots,IPC2002-Depots-LPG,depotprob18186,IPC2002-Depots-depotprob18186,IPC2002-Depots-LPG-depotprob18186,1,26,180
IPC2002,Depots,LPG,IPC2002-Depots,IPC2002-Depots-LPG,depotprob18187,IPC2002-Depots-depotprob18187,IPC2002-Depots-LPG-depotprob18187,1,24,3400
IPC2002,Depots,LPG,IPC2002-Depots,IPC2002-Depots-LPG,depotprob18188,IPC2002-Depots-depotprob18188,IPC2002-Depots-LPG-depotprob18188,1,100,66280
IPC2002,Depots,LPG,IPC2002-Depots,IPC2002-Depots-LPG,depotprob18189,IPC2002-Depots-depotprob18189,IPC2002-Depots-LPG-depotprob18189,1,43,1720
IPC2002,Depots,LPG,IPC2002-Depots,IPC2002-Depots-LPG,depotprob75120,IPC2002-Depots-depotprob75120,IPC2002-Depots-LPG-depotprob75120,1,87,40070
IPC2002,Depots,LPG,IPC2002-Depots,IPC2002-Depots-LPG,depotprob75121,IPC2002-Depots-depotprob75121,IPC2002-Depots-LPG-depotprob75121,1,35,2950
IPC2002,Depots,LPG,IPC2002-Depots,IPC2002-Depots-LPG,depotprob75122,IPC2002-Depots-depotprob75122,IPC2002-Depots-LPG-depotprob75122,1,127,81250
IPC2002,Depots,LPG.quality,IPC2002-Depots,IPC2002-Depots-LPG.quality,depotprob1818,IPC2002-Depots-depotprob1818,IPC2002-Depots-LPG.quality-depotprob1818,1,10,20
IPC2002,Depots,LPG.quality,IPC2002-Depots,IPC2002-Depots-LPG.quality,depotprob7512,IPC2002-Depots-depotprob7512,IPC2002-Depots-LPG.quality-depotprob7512,1,15,40
