competition, planner, domain, pn, steps, time
IPC2002, MIPS.plain, Depots, depotprob1935, 34, 1310
IPC2002, MIPS.plain, Depots, depotprob6512, 35, 59780
IPC2002, MIPS.plain, Depots, depotprob1212, 57, 109230
IPC2002, MIPS.plain, Depots, depotprob1234, 23, 770
IPC2002, MIPS.plain, Depots, depotprob4321, 48, 1750
IPC2002, MIPS.plain, Depots, depotprob18180, 34, 107730
IPC2002, MIPS.plain, Depots, depotprob18183, 25, 200
IPC2002, MIPS.plain, Depots, depotprob18186, 32, 250319
IPC2002, SHOP2, Depots, depotprob1818, 11, 0
IPC2002, SHOP2, Depots, depotprob7512, 16, 10
IPC2002, SHOP2, Depots, depotprob1935, 28, 20
IPC2002, SHOP2, Depots, depotprob6512, 39, 20
IPC2002, SHOP2, Depots, depotprob1212, 49, 30
IPC2002, SHOP2, Depots, depotprob5656, 61, 60
IPC2002, SHOP2, Depots, depotprob1234, 23, 20
IPC2002, SHOP2, Depots, depotprob4321, 59, 50
IPC2002, SHOP2, Depots, depotprob5451, 76, 70
IPC2002, SHOP2, Depots, depotprob18180, 30, 20
IPC2002, SHOP2, Depots, depotprob18181, 49, 40
IPC2002, SHOP2, Depots, depotprob18182, 81, 80
IPC2002, SHOP2, Depots, depotprob18183, 27, 20
IPC2002, SHOP2, Depots, depotprob18184, 43, 40
IPC2002, SHOP2, Depots, depotprob18185, 74, 90
IPC2002, SHOP2, Depots, depotprob18186, 32, 20
IPC2002, SHOP2, Depots, depotprob18187, 34, 30
IPC2002, SHOP2, Depots, depotprob18188, 78, 70
IPC2002, SHOP2, Depots, depotprob18189, 39, 30
IPC2002, SHOP2, Depots, depotprob75120, 77, 80
IPC2002, SHOP2, Depots, depotprob75121, 34, 30
IPC2002, SHOP2, Depots, depotprob75122, 98, 140
IPC2002, SHOP2.quality, Depots, depotprob1818, 10, 0
IPC2002, SHOP2.quality, Depots, depotprob7512, 16, 40
IPC2002, SHOP2.quality, Depots, depotprob1935, 27, 80
IPC2002, SHOP2.quality, Depots, depotprob6512, 37, 1220
IPC2002, SHOP2.quality, Depots, depotprob1212, 49, 1730
IPC2002, SHOP2.quality, Depots, depotprob5656, 61, 350
IPC2002, SHOP2.quality, Depots, depotprob1234, 23, 40
IPC2002, SHOP2.quality, Depots, depotprob4321, 56, 100000
IPC2002, SHOP2.quality, Depots, depotprob5451, 69, 100000
