Planner,Dom,Problem,Time,Steps,comp
grt,Elevator,mixed-f28-p14-u0-v0-g0-a0-n0-a0-b0-n0-f0-r3,1840,46,IPC2000
hsp,Elevator,mixed-f28-p14-u0-v0-g0-a0-n0-a0-b0-n0-f0-r3,1590,40,IPC2000
stan,Elevator,mixed-f28-p14-u0-v0-g0-a0-n0-a0-b0-n0-f0-r3,1170,49,IPC2000
system-r,Elevator,mixed-f28-p14-u0-v0-g0-a0-n0-a0-b0-n0-f0-r3,1970,69,IPC2000
altalt,Elevator,mixed-f28-p14-u0-v0-g0-a0-n0-a0-b0-n0-f0-r4,2440,49,IPC2000
grt,Elevator,mixed-f28-p14-u0-v0-g0-a0-n0-a0-b0-n0-f0-r4,1800,48,IPC2000
hsp,Elevator,mixed-f28-p14-u0-v0-g0-a0-n0-a0-b0-n0-f0-r4,1900,50,IPC2000
stan,Elevator,mixed-f28-p14-u0-v0-g0-a0-n0-a0-b0-n0-f0-r4,200,47,IPC2000
system-r,Elevator,mixed-f28-p14-u0-v0-g0-a0-n0-a0-b0-n0-f0-r4,2020,69,IPC2000
ff,Elevator,mixed-f28-p14-u20-v5-g5-a60-n10-a20-b80-n50-f5-r0,1720,42,IPC2000
propplan,Elevator,mixed-f28-p14-u20-v5-g5-a60-n10-a20-b80-n50-f5-r0,280600,42,IPC2000
talplan,Elevator,mixed-f28-p14-u20-v5-g5-a60-n10-a20-b80-n50-f5-r0,215,44,IPC2000
ff,Elevator,mixed-f28-p14-u20-v5-g5-a60-n10-a20-b80-n50-f5-r1,600,40,IPC2000
propplan,Elevator,mixed-f28-p14-u20-v5-g5-a60-n10-a20-b80-n50-f5-r1,158500,39,IPC2000
talplan,Elevator,mixed-f28-p14-u20-v5-g5-a60-n10-a20-b80-n50-f5-r1,115,43,IPC2000
ff,Elevator,mixed-f28-p14-u20-v5-g5-a60-n10-a20-b80-n50-f5-r2,1880,43,IPC2000
propplan,Elevator,mixed-f28-p14-u20-v5-g5-a60-n10-a20-b80-n50-f5-r2,929600,43,IPC2000
talplan,Elevator,mixed-f28-p14-u20-v5-g5-a60-n10-a20-b80-n50-f5-r2,115,47,IPC2000
ff,Elevator,mixed-f28-p14-u20-v5-g5-a60-n10-a20-b80-n50-f5-r3,630,49,IPC2000
propplan,Elevator,mixed-f28-p14-u20-v5-g5-a60-n10-a20-b80-n50-f5-r3,276100,37,IPC2000
talplan,Elevator,mixed-f28-p14-u20-v5-g5-a60-n10-a20-b80-n50-f5-r3,215,43,IPC2000
ff,Elevator,mixed-f28-p14-u20-v5-g5-a60-n10-a20-b80-n50-f5-r4,480,47,IPC2000
propplan,Elevator,mixed-f28-p14-u20-v5-g5-a60-n10-a20-b80-n50-f5-r4,215100,42,IPC2000
talplan,Elevator,mixed-f28-p14-u20-v5-g5-a60-n10-a20-b80-n50-f5-r4,105,44,IPC2000
altalt,Elevator,mixed-f2-p1-u0-v0-g0-a0-n0-a0-b0-n0-f0-r0,41,4,IPC2000
grt,Elevator,mixed-f2-p1-u0-v0-g0-a0-n0-a0-b0-n0-f0-r0,400,4,IPC2000
hsp,Elevator,mixed-f2-p1-u0-v0-g0-a0-n0-a0-b0-n0-f0-r0,0,4,IPC2000
stan,Elevator,mixed-f2-p1-u0-v0-g0-a0-n0-a0-b0-n0-f0-r0,10,4,IPC2000
system-r,Elevator,mixed-f2-p1-u0-v0-g0-a0-n0-a0-b0-n0-f0-r0,20,4,IPC2000
tokenplan,Elevator,mixed-f2-p1-u0-v0-g0-a0-n0-a0-b0-n0-f0-r0,0,4,IPC2000
altalt,Elevator,mixed-f2-p1-u0-v0-g0-a0-n0-a0-b0-n0-f0-r1,38,3,IPC2000
grt,Elevator,mixed-f2-p1-u0-v0-g0-a0-n0-a0-b0-n0-f0-r1,400,3,IPC2000
hsp,Elevator,mixed-f2-p1-u0-v0-g0-a0-n0-a0-b0-n0-f0-r1,10,3,IPC2000
stan,Elevator,mixed-f2-p1-u0-v0-g0-a0-n0-a0-b0-n0-f0-r1,10,3,IPC2000
system-r,Elevator,mixed-f2-p1-u0-v0-g0-a0-n0-a0-b0-n0-f0-r1,20,3,IPC2000
tokenplan,Elevator,mixed-f2-p1-u0-v0-g0-a0-n0-a0-b0-n0-f0-r1,0,3,IPC2000
altalt,Elevator,mixed-f2-p1-u0-v0-g0-a0-n0-a0-b0-n0-f0-r2,41,4,IPC2000
grt,Elevator,mixed-f2-p1-u0-v0-g0-a0-n0-a0-b0-n0-f0-r2,400,4,IPC2000
hsp,Elevator,mixed-f2-p1-u0-v0-g0-a0-n0-a0-b0-n0-f0-r2,10,4,IPC2000
stan,Elevator,mixed-f2-p1-u0-v0-g0-a0-n0-a0-b0-n0-f0-r2,10,4,IPC2000
system-r,Elevator,mixed-f2-p1-u0-v0-g0-a0-n0-a0-b0-n0-f0-r2,10,4,IPC2000
tokenplan,Elevator,mixed-f2-p1-u0-v0-g0-a0-n0-a0-b0-n0-f0-r2,0,4,IPC2000
altalt,Elevator,mixed-f2-p1-u0-v0-g0-a0-n0-a0-b0-n0-f0-r3,41,4,IPC2000
grt,Elevator,mixed-f2-p1-u0-v0-g0-a0-n0-a0-b0-n0-f0-r3,420,4,IPC2000
hsp,Elevator,mixed-f2-p1-u0-v0-g0-a0-n0-a0-b0-n0-f0-r3,10,4,IPC2000
stan,Elevator,mixed-f2-p1-u0-v0-g0-a0-n0-a0-b0-n0-f0-r3,10,4,IPC2000
system-r,Elevator,mixed-f2-p1-u0-v0-g0-a0-n0-a0-b0-n0-f0-r3,20,4,IPC2000
tokenplan,Elevator,mixed-f2-p1-u0-v0-g0-a0-n0-a0-b0-n0-f0-r3,10,4,IPC2000
altalt,Elevator,mixed-f2-p1-u0-v0-g0-a0-n0-a0-b0-n0-f0-r4,41,4,IPC2000
grt,Elevator,mixed-f2-p1-u0-v0-g0-a0-n0-a0-b0-n0-f0-r4,400,4,IPC2000
hsp,Elevator,mixed-f2-p1-u0-v0-g0-a0-n0-a0-b0-n0-f0-r4,20,4,IPC2000
stan,Elevator,mixed-f2-p1-u0-v0-g0-a0-n0-a0-b0-n0-f0-r4,10,4,IPC2000
system-r,Elevator,mixed-f2-p1-u0-v0-g0-a0-n0-a0-b0-n0-f0-r4,20,4,IPC2000
tokenplan,Elevator,mixed-f2-p1-u0-v0-g0-a0-n0-a0-b0-n0-f0-r4,10,4,IPC2000
ff,Elevator,mixed-f2-p1-u20-v5-g5-a60-n10-a20-b80-n50-f5-r0,0,4,IPC2000
ipp,Elevator,mixed-f2-p1-u20-v5-g5-a60-n10-a20-b80-n50-f5-r0,0,4,IPC2000
propplan,Elevator,mixed-f2-p1-u20-v5-g5-a60-n10-a20-b80-n50-f5-r0,25,4,IPC2000
propplan,Elevator,mixed-f2-p1-u20-v5-g5-a60-n10-a20-b80-n50-f5-r0,90,4,IPC2000
talplan,Elevator,mixed-f2-p1-u20-v5-g5-a60-n10-a20-b80-n50-f5-r0,75,4,IPC2000
ff,Elevator,mixed-f2-p1-u20-v5-g5-a60-n10-a20-b80-n50-f5-r1,10,3,IPC2000
ipp,Elevator,mixed-f2-p1-u20-v5-g5-a60-n10-a20-b80-n50-f5-r1,10,3,IPC2000
propplan,Elevator,mixed-f2-p1-u20-v5-g5-a60-n10-a20-b80-n50-f5-r1,100,3,IPC2000
propplan,Elevator,mixed-f2-p1-u20-v5-g5-a60-n10-a20-b80-n50-f5-r1,100,3,IPC2000
talplan,Elevator,mixed-f2-p1-u20-v5-g5-a60-n10-a20-b80-n50-f5-r1,75,3,IPC2000
ff,Elevator,mixed-f2-p1-u20-v5-g5-a60-n10-a20-b80-n50-f5-r2,10,4,IPC2000
ipp,Elevator,mixed-f2-p1-u20-v5-g5-a60-n10-a20-b80-n50-f5-r2,10,4,IPC2000
propplan,Elevator,mixed-f2-p1-u20-v5-g5-a60-n10-a20-b80-n50-f5-r2,25,4,IPC2000
propplan,Elevator,mixed-f2-p1-u20-v5-g5-a60-n10-a20-b80-n50-f5-r2,90,4,IPC2000
talplan,Elevator,mixed-f2-p1-u20-v5-g5-a60-n10-a20-b80-n50-f5-r2,65,4,IPC2000
ff,Elevator,mixed-f2-p1-u20-v5-g5-a60-n10-a20-b80-n50-f5-r3,10,4,IPC2000
ipp,Elevator,mixed-f2-p1-u20-v5-g5-a60-n10-a20-b80-n50-f5-r3,0,4,IPC2000
propplan,Elevator,mixed-f2-p1-u20-v5-g5-a60-n10-a20-b80-n50-f5-r3,25,4,IPC2000
propplan,Elevator,mixed-f2-p1-u20-v5-g5-a60-n10-a20-b80-n50-f5-r3,90,4,IPC2000
talplan,Elevator,mixed-f2-p1-u20-v5-g5-a60-n10-a20-b80-n50-f5-r3,75,4,IPC2000
ff,Elevator,mixed-f2-p1-u20-v5-g5-a60-n10-a20-b80-n50-f5-r4,10,4,IPC2000
ipp,Elevator,mixed-f2-p1-u20-v5-g5-a60-n10-a20-b80-n50-f5-r4,10,4,IPC2000
propplan,Elevator,mixed-f2-p1-u20-v5-g5-a60-n10-a20-b80-n50-f5-r4,25,4,IPC2000
propplan,Elevator,mixed-f2-p1-u20-v5-g5-a60-n10-a20-b80-n50-f5-r4,90,4,IPC2000
talplan,Elevator,mixed-f2-p1-u20-v5-g5-a60-n10-a20-b80-n50-f5-r4,65,4,IPC2000
altalt,Elevator,mixed-f30-p15-u0-v0-g0-a0-n0-a0-b0-n0-f0-r0,3249,55,IPC2000
grt,Elevator,mixed-f30-p15-u0-v0-g0-a0-n0-a0-b0-n0-f0-r0,2220,49,IPC2000
hsp,Elevator,mixed-f30-p15-u0-v0-g0-a0-n0-a0-b0-n0-f0-r0,2040,42,IPC2000
stan,Elevator,mixed-f30-p15-u0-v0-g0-a0-n0-a0-b0-n0-f0-r0,250,47,IPC2000
system-r,Elevator,mixed-f30-p15-u0-v0-g0-a0-n0-a0-b0-n0-f0-r0,2390,76,IPC2000
altalt,Elevator,mixed-f30-p15-u0-v0-g0-a0-n0-a0-b0-n0-f0-r1,2534,54,IPC2000
grt,Elevator,mixed-f30-p15-u0-v0-g0-a0-n0-a0-b0-n0-f0-r1,2110,56,IPC2000
hsp,Elevator,mixed-f30-p15-u0-v0-g0-a0-n0-a0-b0-n0-f0-r1,3060,56,IPC2000
stan,Elevator,mixed-f30-p15-u0-v0-g0-a0-n0-a0-b0-n0-f0-r1,250,52,IPC2000
system-r,Elevator,mixed-f30-p15-u0-v0-g0-a0-n0-a0-b0-n0-f0-r1,2570,75,IPC2000
altalt,Elevator,mixed-f30-p15-u0-v0-g0-a0-n0-a0-b0-n0-f0-r2,2559,56,IPC2000
grt,Elevator,mixed-f30-p15-u0-v0-g0-a0-n0-a0-b0-n0-f0-r2,2210,53,IPC2000
hsp,Elevator,mixed-f30-p15-u0-v0-g0-a0-n0-a0-b0-n0-f0-r2,2610,54,IPC2000
stan,Elevator,mixed-f30-p15-u0-v0-g0-a0-n0-a0-b0-n0-f0-r2,250,51,IPC2000
system-r,Elevator,mixed-f30-p15-u0-v0-g0-a0-n0-a0-b0-n0-f0-r2,2410,76,IPC2000
altalt,Elevator,mixed-f30-p15-u0-v0-g0-a0-n0-a0-b0-n0-f0-r3,2589,55,IPC2000
grt,Elevator,mixed-f30-p15-u0-v0-g0-a0-n0-a0-b0-n0-f0-r3,2190,55,IPC2000
hsp,Elevator,mixed-f30-p15-u0-v0-g0-a0-n0-a0-b0-n0-f0-r3,2270,48,IPC2000
stan,Elevator,mixed-f30-p15-u0-v0-g0-a0-n0-a0-b0-n0-f0-r3,250,51,IPC2000
system-r,Elevator,mixed-f30-p15-u0-v0-g0-a0-n0-a0-b0-n0-f0-r3,2540,76,IPC2000
altalt,Elevator,mixed-f30-p15-u0-v0-g0-a0-n0-a0-b0-n0-f0-r4,3249,54,IPC2000
grt,Elevator,mixed-f30-p15-u0-v0-g0-a0-n0-a0-b0-n0-f0-r4,2140,51,IPC2000
hsp,Elevator,mixed-f30-p15-u0-v0-g0-a0-n0-a0-b0-n0-f0-r4,2520,46,IPC2000
stan,Elevator,mixed-f30-p15-u0-v0-g0-a0-n0-a0-b0-n0-f0-r4,250,49,IPC2000
system-r,Elevator,mixed-f30-p15-u0-v0-g0-a0-n0-a0-b0-n0-f0-r4,2400,77,IPC2000
ff,Elevator,mixed-f30-p15-u20-v5-g5-a60-n10-a20-b80-n50-f5-r0,780,53,IPC2000
propplan,Elevator,mixed-f30-p15-u20-v5-g5-a60-n10-a20-b80-n50-f5-r0,297000,46,IPC2000
talplan,Elevator,mixed-f30-p15-u20-v5-g5-a60-n10-a20-b80-n50-f5-r0,115,48,IPC2000
ff,Elevator,mixed-f30-p15-u20-v5-g5-a60-n10-a20-b80-n50-f5-r1,640,45,IPC2000
propplan,Elevator,mixed-f30-p15-u20-v5-g5-a60-n10-a20-b80-n50-f5-r1,337600,44,IPC2000
talplan,Elevator,mixed-f30-p15-u20-v5-g5-a60-n10-a20-b80-n50-f5-r1,115,51,IPC2000
ff,Elevator,mixed-f30-p15-u20-v5-g5-a60-n10-a20-b80-n50-f5-r2,540,43,IPC2000
propplan,Elevator,mixed-f30-p15-u20-v5-g5-a60-n10-a20-b80-n50-f5-r2,167000,36,IPC2000
talplan,Elevator,mixed-f30-p15-u20-v5-g5-a60-n10-a20-b80-n50-f5-r2,205,44,IPC2000
ff,Elevator,mixed-f30-p15-u20-v5-g5-a60-n10-a20-b80-n50-f5-r3,3100,44,IPC2000
propplan,Elevator,mixed-f30-p15-u20-v5-g5-a60-n10-a20-b80-n50-f5-r3,206000,36,IPC2000
talplan,Elevator,mixed-f30-p15-u20-v5-g5-a60-n10-a20-b80-n50-f5-r3,135,46,IPC2000
ff,Elevator,mixed-f30-p15-u20-v5-g5-a60-n10-a20-b80-n50-f5-r4,2390,40,IPC2000
propplan,Elevator,mixed-f30-p15-u20-v5-g5-a60-n10-a20-b80-n50-f5-r4,248100,38,IPC2000
talplan,Elevator,mixed-f30-p15-u20-v5-g5-a60-n10-a20-b80-n50-f5-r4,1355,41,IPC2000
altalt,Elevator,mixed-f32-p16-u0-v0-g0-a0-n0-a0-b0-n0-f0-r0,3373,58,IPC2000
grt,Elevator,mixed-f32-p16-u0-v0-g0-a0-n0-a0-b0-n0-f0-r0,2380,55,IPC2000
hsp,Elevator,mixed-f32-p16-u0-v0-g0-a0-n0-a0-b0-n0-f0-r0,3100,54,IPC2000
stan,Elevator,mixed-f32-p16-u0-v0-g0-a0-n0-a0-b0-n0-f0-r0,320,54,IPC2000
system-r,Elevator,mixed-f32-p16-u0-v0-g0-a0-n0-a0-b0-n0-f0-r0,2870,80,IPC2000
altalt,Elevator,mixed-f32-p16-u0-v0-g0-a0-n0-a0-b0-n0-f0-r1,4193,59,IPC2000
grt,Elevator,mixed-f32-p16-u0-v0-g0-a0-n0-a0-b0-n0-f0-r1,2550,52,IPC2000
hsp,Elevator,mixed-f32-p16-u0-v0-g0-a0-n0-a0-b0-n0-f0-r1,2940,52,IPC2000
stan,Elevator,mixed-f32-p16-u0-v0-g0-a0-n0-a0-b0-n0-f0-r1,330,52,IPC2000
system-r,Elevator,mixed-f32-p16-u0-v0-g0-a0-n0-a0-b0-n0-f0-r1,2990,84,IPC2000
altalt,Elevator,mixed-f32-p16-u0-v0-g0-a0-n0-a0-b0-n0-f0-r2,3408,59,IPC2000
grt,Elevator,mixed-f32-p16-u0-v0-g0-a0-n0-a0-b0-n0-f0-r2,2530,57,IPC2000
hsp,Elevator,mixed-f32-p16-u0-v0-g0-a0-n0-a0-b0-n0-f0-r2,3300,58,IPC2000
stan,Elevator,mixed-f32-p16-u0-v0-g0-a0-n0-a0-b0-n0-f0-r2,310,56,IPC2000
system-r,Elevator,mixed-f32-p16-u0-v0-g0-a0-n0-a0-b0-n0-f0-r2,3110,84,IPC2000
altalt,Elevator,mixed-f32-p16-u0-v0-g0-a0-n0-a0-b0-n0-f0-r3,4321,61,IPC2000
grt,Elevator,mixed-f32-p16-u0-v0-g0-a0-n0-a0-b0-n0-f0-r3,2630,56,IPC2000
hsp,Elevator,mixed-f32-p16-u0-v0-g0-a0-n0-a0-b0-n0-f0-r3,3070,49,IPC2000
stan,Elevator,mixed-f32-p16-u0-v0-g0-a0-n0-a0-b0-n0-f0-r3,320,54,IPC2000
system-r,Elevator,mixed-f32-p16-u0-v0-g0-a0-n0-a0-b0-n0-f0-r3,2910,78,IPC2000
altalt,Elevator,mixed-f32-p16-u0-v0-g0-a0-n0-a0-b0-n0-f0-r4,4169,60,IPC2000
grt,Elevator,mixed-f32-p16-u0-v0-g0-a0-n0-a0-b0-n0-f0-r4,2700,54,IPC2000
hsp,Elevator,mixed-f32-p16-u0-v0-g0-a0-n0-a0-b0-n0-f0-r4,3220,58,IPC2000
stan,Elevator,mixed-f32-p16-u0-v0-g0-a0-n0-a0-b0-n0-f0-r4,320,55,IPC2000
system-r,Elevator,mixed-f32-p16-u0-v0-g0-a0-n0-a0-b0-n0-f0-r4,3030,81,IPC2000
ff,Elevator,mixed-f32-p16-u20-v5-g5-a60-n10-a20-b80-n50-f5-r0,104330.002,56,IPC2000
propplan,Elevator,mixed-f32-p16-u20-v5-g5-a60-n10-a20-b80-n50-f5-r0,420500,52,IPC2000
talplan,Elevator,mixed-f32-p16-u20-v5-g5-a60-n10-a20-b80-n50-f5-r0,20585,56,IPC2000
ff,Elevator,mixed-f32-p16-u20-v5-g5-a60-n10-a20-b80-n50-f5-r1,1000,55,IPC2000
propplan,Elevator,mixed-f32-p16-u20-v5-g5-a60-n10-a20-b80-n50-f5-r1,349100,43,IPC2000
talplan,Elevator,mixed-f32-p16-u20-v5-g5-a60-n10-a20-b80-n50-f5-r1,125,47,IPC2000
ff,Elevator,mixed-f32-p16-u20-v5-g5-a60-n10-a20-b80-n50-f5-r2,840,54,IPC2000
propplan,Elevator,mixed-f32-p16-u20-v5-g5-a60-n10-a20-b80-n50-f5-r2,585000,50,IPC2000
talplan,Elevator,mixed-f32-p16-u20-v5-g5-a60-n10-a20-b80-n50-f5-r2,145,54,IPC2000
ff,Elevator,mixed-f32-p16-u20-v5-g5-a60-n10-a20-b80-n50-f5-r3,4720,48,IPC2000
propplan,Elevator,mixed-f32-p16-u20-v5-g5-a60-n10-a20-b80-n50-f5-r3,826300,46,IPC2000
talplan,Elevator,mixed-f32-p16-u20-v5-g5-a60-n10-a20-b80-n50-f5-r3,135,56,IPC2000
altalt,Elevator,mixed-f34-p17-u0-v0-g0-a0-n0-a0-b0-n0-f0-r0,4168,61,IPC2000
grt,Elevator,mixed-f34-p17-u0-v0-g0-a0-n0-a0-b0-n0-f0-r0,3060,60,IPC2000
hsp,Elevator,mixed-f34-p17-u0-v0-g0-a0-n0-a0-b0-n0-f0-r0,5030,62,IPC2000
stan,Elevator,mixed-f34-p17-u0-v0-g0-a0-n0-a0-b0-n0-f0-r0,410,59,IPC2000
system-r,Elevator,mixed-f34-p17-u0-v0-g0-a0-n0-a0-b0-n0-f0-r0,3670,90,IPC2000
altalt,Elevator,mixed-f34-p17-u0-v0-g0-a0-n0-a0-b0-n0-f0-r1,5511,61,IPC2000
grt,Elevator,mixed-f34-p17-u0-v0-g0-a0-n0-a0-b0-n0-f0-r1,2900,58,IPC2000
hsp,Elevator,mixed-f34-p17-u0-v0-g0-a0-n0-a0-b0-n0-f0-r1,4040,60,IPC2000
stan,Elevator,mixed-f34-p17-u0-v0-g0-a0-n0-a0-b0-n0-f0-r1,420,55,IPC2000
system-r,Elevator,mixed-f34-p17-u0-v0-g0-a0-n0-a0-b0-n0-f0-r1,3320,84,IPC2000
altalt,Elevator,mixed-f34-p17-u0-v0-g0-a0-n0-a0-b0-n0-f0-r2,5404,63,IPC2000
grt,Elevator,mixed-f34-p17-u0-v0-g0-a0-n0-a0-b0-n0-f0-r2,3150,58,IPC2000
hsp,Elevator,mixed-f34-p17-u0-v0-g0-a0-n0-a0-b0-n0-f0-r2,4290,60,IPC2000
stan,Elevator,mixed-f34-p17-u0-v0-g0-a0-n0-a0-b0-n0-f0-r2,2610,61,IPC2000
system-r,Elevator,mixed-f34-p17-u0-v0-g0-a0-n0-a0-b0-n0-f0-r2,3510,85,IPC2000
altalt,Elevator,mixed-f34-p17-u0-v0-g0-a0-n0-a0-b0-n0-f0-r3,4734,66,IPC2000
grt,Elevator,mixed-f34-p17-u0-v0-g0-a0-n0-a0-b0-n0-f0-r3,3180,61,IPC2000
hsp,Elevator,mixed-f34-p17-u0-v0-g0-a0-n0-a0-b0-n0-f0-r3,4330,56,IPC2000
stan,Elevator,mixed-f34-p17-u0-v0-g0-a0-n0-a0-b0-n0-f0-r3,400,60,IPC2000
system-r,Elevator,mixed-f34-p17-u0-v0-g0-a0-n0-a0-b0-n0-f0-r3,3620,88,IPC2000
altalt,Elevator,mixed-f34-p17-u0-v0-g0-a0-n0-a0-b0-n0-f0-r4,5362,63,IPC2000
grt,Elevator,mixed-f34-p17-u0-v0-g0-a0-n0-a0-b0-n0-f0-r4,3170,58,IPC2000
hsp,Elevator,mixed-f34-p17-u0-v0-g0-a0-n0-a0-b0-n0-f0-r4,4120,54,IPC2000
stan,Elevator,mixed-f34-p17-u0-v0-g0-a0-n0-a0-b0-n0-f0-r4,410,55,IPC2000
system-r,Elevator,mixed-f34-p17-u0-v0-g0-a0-n0-a0-b0-n0-f0-r4,3550,88,IPC2000
ff,Elevator,mixed-f34-p17-u20-v5-g5-a60-n10-a20-b80-n50-f5-r0,1070,61,IPC2000
propplan,Elevator,mixed-f34-p17-u20-v5-g5-a60-n10-a20-b80-n50-f5-r0,1518100,52,IPC2000
talplan,Elevator,mixed-f34-p17-u20-v5-g5-a60-n10-a20-b80-n50-f5-r0,215,56,IPC2000
ff,Elevator,mixed-f34-p17-u20-v5-g5-a60-n10-a20-b80-n50-f5-r2,770,50,IPC2000
propplan,Elevator,mixed-f34-p17-u20-v5-g5-a60-n10-a20-b80-n50-f5-r2,565900,45,IPC2000
talplan,Elevator,mixed-f34-p17-u20-v5-g5-a60-n10-a20-b80-n50-f5-r2,135,53,IPC2000
ff,Elevator,mixed-f34-p17-u20-v5-g5-a60-n10-a20-b80-n50-f5-r3,810,60,IPC2000
propplan,Elevator,mixed-f34-p17-u20-v5-g5-a60-n10-a20-b80-n50-f5-r3,966700,49,IPC2000
talplan,Elevator,mixed-f34-p17-u20-v5-g5-a60-n10-a20-b80-n50-f5-r3,145,59,IPC2000
ff,Elevator,mixed-f34-p17-u20-v5-g5-a60-n10-a20-b80-n50-f5-r4,1030,52,IPC2000
talplan,Elevator,mixed-f34-p17-u20-v5-g5-a60-n10-a20-b80-n50-f5-r4,375,54,IPC2000
altalt,Elevator,mixed-f36-p18-u0-v0-g0-a0-n0-a0-b0-n0-f0-r0,5338,65,IPC2000
grt,Elevator,mixed-f36-p18-u0-v0-g0-a0-n0-a0-b0-n0-f0-r0,3640,63,IPC2000
hsp,Elevator,mixed-f36-p18-u0-v0-g0-a0-n0-a0-b0-n0-f0-r0,5230,64,IPC2000
stan,Elevator,mixed-f36-p18-u0-v0-g0-a0-n0-a0-b0-n0-f0-r0,3330,66,IPC2000
system-r,Elevator,mixed-f36-p18-u0-v0-g0-a0-n0-a0-b0-n0-f0-r0,4480,96,IPC2000
altalt,Elevator,mixed-f36-p18-u0-v0-g0-a0-n0-a0-b0-n0-f0-r1,6823,66,IPC2000
grt,Elevator,mixed-f36-p18-u0-v0-g0-a0-n0-a0-b0-n0-f0-r1,3560,62,IPC2000
hsp,Elevator,mixed-f36-p18-u0-v0-g0-a0-n0-a0-b0-n0-f0-r1,4650,56,IPC2000
stan,Elevator,mixed-f36-p18-u0-v0-g0-a0-n0-a0-b0-n0-f0-r1,530,59,IPC2000
system-r,Elevator,mixed-f36-p18-u0-v0-g0-a0-n0-a0-b0-n0-f0-r1,4170,92,IPC2000
altalt,Elevator,mixed-f36-p18-u0-v0-g0-a0-n0-a0-b0-n0-f0-r2,5380,64,IPC2000
grt,Elevator,mixed-f36-p18-u0-v0-g0-a0-n0-a0-b0-n0-f0-r2,3730,62,IPC2000
hsp,Elevator,mixed-f36-p18-u0-v0-g0-a0-n0-a0-b0-n0-f0-r2,4960,60,IPC2000
stan,Elevator,mixed-f36-p18-u0-v0-g0-a0-n0-a0-b0-n0-f0-r2,3280,64,IPC2000
system-r,Elevator,mixed-f36-p18-u0-v0-g0-a0-n0-a0-b0-n0-f0-r2,4320,95,IPC2000
altalt,Elevator,mixed-f36-p18-u0-v0-g0-a0-n0-a0-b0-n0-f0-r3,5303,65,IPC2000
grt,Elevator,mixed-f36-p18-u0-v0-g0-a0-n0-a0-b0-n0-f0-r3,3670,64,IPC2000
hsp,Elevator,mixed-f36-p18-u0-v0-g0-a0-n0-a0-b0-n0-f0-r3,5070,58,IPC2000
stan,Elevator,mixed-f36-p18-u0-v0-g0-a0-n0-a0-b0-n0-f0-r3,520,60,IPC2000
system-r,Elevator,mixed-f36-p18-u0-v0-g0-a0-n0-a0-b0-n0-f0-r3,4080,91,IPC2000
altalt,Elevator,mixed-f36-p18-u0-v0-g0-a0-n0-a0-b0-n0-f0-r4,6869,62,IPC2000
grt,Elevator,mixed-f36-p18-u0-v0-g0-a0-n0-a0-b0-n0-f0-r4,3570,62,IPC2000
hsp,Elevator,mixed-f36-p18-u0-v0-g0-a0-n0-a0-b0-n0-f0-r4,5790,62,IPC2000
stan,Elevator,mixed-f36-p18-u0-v0-g0-a0-n0-a0-b0-n0-f0-r4,480,58,IPC2000
system-r,Elevator,mixed-f36-p18-u0-v0-g0-a0-n0-a0-b0-n0-f0-r4,4040,91,IPC2000
ff,Elevator,mixed-f36-p18-u20-v5-g5-a60-n10-a20-b80-n50-f5-r0,1460,63,IPC2000
talplan,Elevator,mixed-f36-p18-u20-v5-g5-a60-n10-a20-b80-n50-f5-r0,145,61,IPC2000
ff,Elevator,mixed-f36-p18-u20-v5-g5-a60-n10-a20-b80-n50-f5-r10,870,59,IPC2000
talplan,Elevator,mixed-f36-p18-u20-v5-g5-a60-n10-a20-b80-n50-f5-r10,145,59,IPC2000
ff,Elevator,mixed-f36-p18-u20-v5-g5-a60-n10-a20-b80-n50-f5-r2,7950,56,IPC2000
talplan,Elevator,mixed-f36-p18-u20-v5-g5-a60-n10-a20-b80-n50-f5-r2,155,64,IPC2000
ff,Elevator,mixed-f36-p18-u20-v5-g5-a60-n10-a20-b80-n50-f5-r3,1400,58,IPC2000
talplan,Elevator,mixed-f36-p18-u20-v5-g5-a60-n10-a20-b80-n50-f5-r3,145,61,IPC2000
ff,Elevator,mixed-f36-p18-u20-v5-g5-a60-n10-a20-b80-n50-f5-r4,125199.997,53,IPC2000
talplan,Elevator,mixed-f36-p18-u20-v5-g5-a60-n10-a20-b80-n50-f5-r4,145,59,IPC2000
altalt,Elevator,mixed-f38-p19-u0-v0-g0-a0-n0-a0-b0-n0-f0-r0,6747,68,IPC2000
grt,Elevator,mixed-f38-p19-u0-v0-g0-a0-n0-a0-b0-n0-f0-r0,4470,69,IPC2000
hsp,Elevator,mixed-f38-p19-u0-v0-g0-a0-n0-a0-b0-n0-f0-r0,6250,64,IPC2000
stan,Elevator,mixed-f38-p19-u0-v0-g0-a0-n0-a0-b0-n0-f0-r0,4100,71,IPC2000
system-r,Elevator,mixed-f38-p19-u0-v0-g0-a0-n0-a0-b0-n0-f0-r0,5260,100,IPC2000
altalt,Elevator,mixed-f38-p19-u0-v0-g0-a0-n0-a0-b0-n0-f0-r1,6604,70,IPC2000
grt,Elevator,mixed-f38-p19-u0-v0-g0-a0-n0-a0-b0-n0-f0-r1,4500,69,IPC2000
hsp,Elevator,mixed-f38-p19-u0-v0-g0-a0-n0-a0-b0-n0-f0-r1,6600,64,IPC2000
