"","com","planner","dom","gn","Class","Cfactor","Cresp","Ctran","R2","Dist"
"123","IPC2000","mips","blocks","BLOCKS-11-1",1,"D","Time","D^-9vTime^-3",0.973804580959793,-0.00838825445463615
"124","IPC2000","mips","blocks","BLOCKS-11-2",0,"D","Time","D^-9vTime^-3",0.973804580959793,-0.00838825445463615
"125","IPC2000","mips","blocks","BLOCKS-12-0",2,"D","Time","D^-9vTime^-3",0.973804580959793,-0.00838825445463615
"126","IPC2000","mips","blocks","BLOCKS-10-0",1,"D","Time","D^-9vTime^-3",0.973804580959793,-0.00838825445463615
"127","IPC2000","mips","blocks","BLOCKS-10-1",1,"D","Time","D^-9vTime^-3",0.973804580959793,-0.00838825445463615
"128","IPC2000","mips","blocks","BLOCKS-12-1",2,"D","Time","D^-9vTime^-3",0.973804580959793,-0.00838825445463615
"154","IPC2000","mips","blocks","BLOCKS-4-0",2,"D","Time","D^-9vTime^-3",0.973804580959793,-0.00838825445463615
"156","IPC2000","mips","blocks","BLOCKS-4-1",1,"D","Time","D^-9vTime^-3",0.973804580959793,-0.00838825445463615
"158","IPC2000","mips","blocks","BLOCKS-4-2",1,"D","Time","D^-9vTime^-3",0.973804580959793,-0.00838825445463615
"161","IPC2000","mips","blocks","BLOCKS-5-2",0,"D","Time","D^-9vTime^-3",0.973804580959793,-0.00838825445463615
"163","IPC2000","mips","blocks","BLOCKS-6-0",1,"D","Time","D^-9vTime^-3",0.973804580959793,-0.00838825445463615
"165","IPC2000","mips","blocks","BLOCKS-6-2",1,"D","Time","D^-9vTime^-3",0.973804580959793,-0.00838825445463615
"166","IPC2000","mips","blocks","BLOCKS-6-1",2,"D","Time","D^-9vTime^-3",0.973804580959793,-0.00838825445463615
"167","IPC2000","mips","blocks","BLOCKS-7-1",1,"D","Time","D^-9vTime^-3",0.973804580959793,-0.00838825445463615
"169","IPC2000","mips","blocks","BLOCKS-7-2",0,"D","Time","D^-9vTime^-3",0.973804580959793,-0.00838825445463615
"170","IPC2000","mips","blocks","BLOCKS-7-0",1,"D","Time","D^-9vTime^-3",0.973804580959793,-0.00838825445463615
"171","IPC2000","mips","blocks","BLOCKS-5-1",2,"D","Time","D^-9vTime^-3",0.973804580959793,-0.00838825445463615
"172","IPC2000","mips","blocks","BLOCKS-8-0",0,"D","Time","D^-9vTime^-3",0.973804580959793,-0.00838825445463615
"173","IPC2000","mips","blocks","BLOCKS-5-0",0,"D","Time","D^-9vTime^-3",0.973804580959793,-0.00838825445463615
"176","IPC2000","mips","blocks","BLOCKS-9-0",1,"D","Time","D^-9vTime^-3",0.973804580959793,-0.00838825445463615
"177","IPC2000","mips","blocks","BLOCKS-8-1",0,"D","Time","D^-9vTime^-3",0.973804580959793,-0.00838825445463615
"178","IPC2000","mips","blocks","BLOCKS-8-2",2,"D","Time","D^-9vTime^-3",0.973804580959793,-0.00838825445463615
"179","IPC2000","mips","blocks","BLOCKS-9-1",0,"D","Time","D^-9vTime^-3",0.973804580959793,-0.00838825445463615
"180","IPC2000","mips","blocks","BLOCKS-9-2",0,"D","Time","D^-9vTime^-3",0.973804580959793,-0.00838825445463615
"181","IPC2000","blackbox","blocks","BLOCKS-10-2",1,"D","Time","D^-9vTime^-3",0.986493664041574,3.20219049654078e-05
"182","IPC2000","blackbox","blocks","BLOCKS-11-0",0,"D","Time","D^-9vTime^-3",0.986493664041574,3.20219049654078e-05
"183","IPC2000","blackbox","blocks","BLOCKS-11-1",1,"D","Time","D^-9vTime^-3",0.986493664041574,3.20219049654078e-05
"184","IPC2000","blackbox","blocks","BLOCKS-11-2",0,"D","Time","D^-9vTime^-3",0.986493664041574,3.20219049654078e-05
"185","IPC2000","blackbox","blocks","BLOCKS-12-0",0,"D","Time","D^-9vTime^-3",0.986493664041574,3.20219049654078e-05
"186","IPC2000","blackbox","blocks","BLOCKS-10-0",0,"D","Time","D^-9vTime^-3",0.986493664041574,3.20219049654078e-05
"187","IPC2000","blackbox","blocks","BLOCKS-10-1",1,"D","Time","D^-9vTime^-3",0.986493664041574,3.20219049654078e-05
"188","IPC2000","blackbox","blocks","BLOCKS-12-1",0,"D","Time","D^-9vTime^-3",0.986493664041574,3.20219049654078e-05
"214","IPC2000","blackbox","blocks","BLOCKS-4-0",2,"D","Time","D^-9vTime^-3",0.986493664041574,3.20219049654078e-05
"216","IPC2000","blackbox","blocks","BLOCKS-4-1",1,"D","Time","D^-9vTime^-3",0.986493664041574,3.20219049654078e-05
"218","IPC2000","blackbox","blocks","BLOCKS-4-2",0,"D","Time","D^-9vTime^-3",0.986493664041574,3.20219049654078e-05
"221","IPC2000","blackbox","blocks","BLOCKS-5-2",1,"D","Time","D^-9vTime^-3",0.986493664041574,3.20219049654078e-05
"223","IPC2000","blackbox","blocks","BLOCKS-6-0",1,"D","Time","D^-9vTime^-3",0.986493664041574,3.20219049654078e-05
"225","IPC2000","blackbox","blocks","BLOCKS-6-2",0,"D","Time","D^-9vTime^-3",0.986493664041574,3.20219049654078e-05
"226","IPC2000","blackbox","blocks","BLOCKS-6-1",2,"D","Time","D^-9vTime^-3",0.986493664041574,3.20219049654078e-05
"227","IPC2000","blackbox","blocks","BLOCKS-7-1",1,"D","Time","D^-9vTime^-3",0.986493664041574,3.20219049654078e-05
"229","IPC2000","blackbox","blocks","BLOCKS-7-2",0,"D","Time","D^-9vTime^-3",0.986493664041574,3.20219049654078e-05
"230","IPC2000","blackbox","blocks","BLOCKS-7-0",2,"D","Time","D^-9vTime^-3",0.986493664041574,3.20219049654078e-05
