"","com","planner","dom","gn","Class","Cfactor","Cresp","Ctran","R2","Dist","MahaDist","MahaOut","CookDist","CookOut","Disc"
"239","IPC1998","blackbox","movie","strips-movie-x-12",0,"D","Time","D^10vTime^0.4",0.821280007582457,0,0.835799809850243,0,0.000138032281081661,0,0
"240","IPC1998","stan","movie","strips-movie-x-12",0,"D","Time","D^10vTime^0.4",0.826563825974619,0,0.74604707869639,0,0.000177618171763225,0,2
"241","IPC1998","ipp","movie","strips-movie-x-13",1,"D","Time","D^10vTime^0.4",0.824571644406147,-3.68799883372842,0.930399869007596,0,0.00354461664076403,0,0
"242","IPC1998","blackbox","movie","strips-movie-x-13",0,"D","Time","D^10vTime^0.4",0.821280007582457,0,0.843755020139164,0,8.78566646043777e-06,0,2
"243","IPC1998","hsp","movie","strips-movie-x-13",0,"D","Time","D^10vTime^0.4",0.435834895181702,0,0.886916451228789,0,0.000135308760340909,0,2
"244","IPC1998","stan","movie","strips-movie-x-13",0,"D","Time","D^10vTime^0.4",0.826563825974619,0,0.744282939417551,0,3.01102548605257e-06,0,0
"245","IPC1998","blackbox","movie","strips-movie-x-14",0,"D","Time","D^10vTime^0.4",0.821280007582457,0,0.858181522325617,0,9.68823907453603e-05,0,2
"246","IPC1998","hsp","movie","strips-movie-x-14",0,"D","Time","D^10vTime^0.4",0.435834895181702,0,0.898196317878171,0,2.25616341661459e-05,0,2
"247","IPC1998","stan","movie","strips-movie-x-14",0,"D","Time","D^10vTime^0.4",0.826563825974619,0,0.752410516871568,0,9.12895313195065e-05,0,0
"248","IPC1998","ipp","movie","strips-movie-x-14",2,"D","Time","D^10vTime^0.4",0.824571644406147,-5.20572826455946,1.14520722599539,0,0.0116072733314267,0,2
"249","IPC1998","hsp","movie","strips-movie-x-15",0,"D","Time","D^10vTime^0.4",0.435834895181702,0,0.911622340146974,0,3.98071965040518e-06,0,0
"250","IPC1998","stan","movie","strips-movie-x-15",0,"D","Time","D^10vTime^0.4",0.826563825974619,0,0.773517906352431,0,0.000535246293045852,0,0
"251","IPC1998","blackbox","movie","strips-movie-x-15",0,"D","Time","D^10vTime^0.4",0.821280007582457,0,0.878380192044861,0,0.000395942842846135,0,2
"252","IPC1998","ipp","movie","strips-movie-x-15",1,"D","Time","D^10vTime^0.4",0.824571644406147,-4.67400393537703,0.967350794216036,0,0.00433928828690497,0,0
"253","IPC1998","ipp","movie","strips-movie-x-16",2,"D","Time","D^10vTime^0.4",0.824571644406147,-22.2868398623007,1.68239536727072,0,0.033962793620122,0,2
"254","IPC1998","blackbox","movie","strips-movie-x-16",0,"D","Time","D^10vTime^0.4",0.821280007582457,0,0.90275836102348,0,0.000871178060905752,0,2
"255","IPC1998","hsp","movie","strips-movie-x-16",2,"D","Time","D^10vTime^0.4",0.435834895181702,-815.73902170771,1.22152952607482,0,0.0149665142418088,0,2
"256","IPC1998","stan","movie","strips-movie-x-16",0,"D","Time","D^10vTime^0.4",0.826563825974619,0,0.804797255540452,0,0.00128816007307337,0,0
"257","IPC1998","ipp","movie","strips-movie-x-17",0,"D","Time","D^10vTime^0.4",0.824571644406147,0,0.850520396344309,0,5.50326176488306e-05,0,0
"258","IPC1998","stan","movie","strips-movie-x-17",2,"D","Time","D^10vTime^0.4",0.826563825974619,-18.7098974558908,1.68479044016274,0,0.0355664198402672,0,2
"259","IPC1998","hsp","movie","strips-movie-x-17",0,"D","Time","D^10vTime^0.4",0.435834895181702,0,0.928145455636689,0,0.000118465141013663,0,0
"260","IPC1998","blackbox","movie","strips-movie-x-17",2,"D","Time","D^10vTime^0.4",0.821280007582457,-0.926291139353459,0.930241617492365,0,0.00150005284841555,0,2
"261","IPC1998","hsp","movie","strips-movie-x-18",0,"D","Time","D^10vTime^0.4",0.435834895181702,0,0.946333967772397,0,0.000324698837085988,0,0
"262","IPC1998","ipp","movie","strips-movie-x-18",0,"D","Time","D^10vTime^0.4",0.824571644406147,0,0.859919242626509,0,9.790541291821e-05,0,0
