"","pkey","com","dom","gn","solvedg","minSteps","graph","complete","gl","fap","parallel","GClass"
"49","IPC1998-logistics-strips-log-x-7","IPC1998","logistics","strips-log-x-7",1,112,1,1,9,9,1,"SGCP"
"50","IPC1998-logistics-strips-log-x-8","IPC1998","logistics","strips-log-x-8",0,Inf,1,0,11,10,1,"NSG"
"51","IPC1998-logistics-strips-log-x-9","IPC1998","logistics","strips-log-x-9",0,Inf,1,0,13,10,1,"NSG"
"52","IPC1998-logistics-strips-log-y-1","IPC1998","logistics","strips-log-y-1",0,Inf,1,1,6,6,1,"NSG"
"53","IPC1998-logistics-strips-log-y-2","IPC1998","logistics","strips-log-y-2",0,Inf,1,1,9,9,1,"NSG"
"54","IPC1998-logistics-strips-log-y-3","IPC1998","logistics","strips-log-y-3",0,Inf,1,1,8,8,1,"NSG"
"55","IPC1998-logistics-strips-log-y-4","IPC1998","logistics","strips-log-y-4",0,Inf,1,1,11,9,1,"NSG"
"56","IPC1998-logistics-strips-log-y-5","IPC1998","logistics","strips-log-y-5",0,Inf,0,NA,NA,NA,NA,"NSNG"
"57","IPC1998-movie-strips-movie-x-1","IPC1998","movie","strips-movie-x-1",1,7,1,1,2,2,1,"SGCP"
"58","IPC1998-movie-strips-movie-x-10","IPC1998","movie","strips-movie-x-10",1,7,1,1,2,2,1,"SGCP"
"59","IPC1998-movie-strips-movie-x-11","IPC1998","movie","strips-movie-x-11",1,7,1,1,2,2,1,"SGCP"
"60","IPC1998-movie-strips-movie-x-12","IPC1998","movie","strips-movie-x-12",1,7,1,1,2,2,1,"SGCP"
"61","IPC1998-movie-strips-movie-x-13","IPC1998","movie","strips-movie-x-13",1,7,1,1,2,2,1,"SGCP"
"62","IPC1998-movie-strips-movie-x-14","IPC1998","movie","strips-movie-x-14",1,7,1,1,2,2,1,"SGCP"
"63","IPC1998-movie-strips-movie-x-15","IPC1998","movie","strips-movie-x-15",1,7,1,1,2,2,1,"SGCP"
"64","IPC1998-movie-strips-movie-x-16","IPC1998","movie","strips-movie-x-16",1,7,1,1,2,2,1,"SGCP"
"65","IPC1998-movie-strips-movie-x-17","IPC1998","movie","strips-movie-x-17",1,7,1,1,2,2,1,"SGCP"
"66","IPC1998-movie-strips-movie-x-18","IPC1998","movie","strips-movie-x-18",1,7,1,1,2,2,1,"SGCP"
"67","IPC1998-movie-strips-movie-x-19","IPC1998","movie","strips-movie-x-19",1,7,1,1,2,2,1,"SGCP"
"68","IPC1998-movie-strips-movie-x-2","IPC1998","movie","strips-movie-x-2",1,7,1,1,2,2,1,"SGCP"
"69","IPC1998-movie-strips-movie-x-20","IPC1998","movie","strips-movie-x-20",1,7,1,1,2,2,1,"SGCP"
"70","IPC1998-movie-strips-movie-x-21","IPC1998","movie","strips-movie-x-21",1,7,1,1,2,2,1,"SGCP"
"71","IPC1998-movie-strips-movie-x-22","IPC1998","movie","strips-movie-x-22",1,7,1,1,2,2,1,"SGCP"
"72","IPC1998-movie-strips-movie-x-23","IPC1998","movie","strips-movie-x-23",1,7,1,1,2,2,1,"SGCP"
"73","IPC1998-movie-strips-movie-x-24","IPC1998","movie","strips-movie-x-24",1,7,1,1,2,2,1,"SGCP"
"74","IPC1998-movie-strips-movie-x-25","IPC1998","movie","strips-movie-x-25",1,7,1,1,2,2,1,"SGCP"
"75","IPC1998-movie-strips-movie-x-26","IPC1998","movie","strips-movie-x-26",1,7,1,1,2,2,1,"SGCP"
"76","IPC1998-movie-strips-movie-x-27","IPC1998","movie","strips-movie-x-27",1,7,1,1,2,2,1,"SGCP"
"77","IPC1998-movie-strips-movie-x-28","IPC1998","movie","strips-movie-x-28",1,7,1,1,2,2,1,"SGCP"
"78","IPC1998-movie-strips-movie-x-29","IPC1998","movie","strips-movie-x-29",1,7,1,1,2,2,1,"SGCP"
"79","IPC1998-movie-strips-movie-x-3","IPC1998","movie","strips-movie-x-3",1,7,1,1,2,2,1,"SGCP"
"80","IPC1998-movie-strips-movie-x-30","IPC1998","movie","strips-movie-x-30",1,7,1,1,2,2,1,"SGCP"
"81","IPC1998-movie-strips-movie-x-4","IPC1998","movie","strips-movie-x-4",1,7,1,1,2,2,1,"SGCP"
"82","IPC1998-movie-strips-movie-x-5","IPC1998","movie","strips-movie-x-5",1,7,1,1,2,2,1,"SGCP"
"83","IPC1998-movie-strips-movie-x-6","IPC1998","movie","strips-movie-x-6",1,7,1,1,2,2,1,"SGCP"
"84","IPC1998-movie-strips-movie-x-7","IPC1998","movie","strips-movie-x-7",1,7,1,1,2,2,1,"SGCP"
"85","IPC1998-movie-strips-movie-x-8","IPC1998","movie","strips-movie-x-8",1,7,1,1,2,2,1,"SGCP"
"86","IPC1998-movie-strips-movie-x-9","IPC1998","movie","strips-movie-x-9",1,7,1,1,2,2,1,"SGCP"
"87","IPC1998-mprime-strips-mprime-x-1","IPC1998","mprime","strips-mprime-x-1",1,5,1,1,5,5,0,"SGCNP"
"88","IPC1998-mprime-strips-mprime-x-10","IPC1998","mprime","strips-mprime-x-10",0,Inf,0,0,0,0,1,"NSNG"
"89","IPC1998-mprime-strips-mprime-x-11","IPC1998","mprime","strips-mprime-x-11",1,8,1,1,7,7,1,"SGCP"
"90","IPC1998-mprime-strips-mprime-x-12","IPC1998","mprime","strips-mprime-x-12",1,9,1,1,5,5,1,"SGCP"
"91","IPC1998-mprime-strips-mprime-x-13","IPC1998","mprime","strips-mprime-x-13",0,Inf,1,1,8,8,1,"NSG"
"92","IPC1998-mprime-strips-mprime-x-14","IPC1998","mprime","strips-mprime-x-14",0,Inf,0,0,0,0,1,"NSNG"
"93","IPC1998-mprime-strips-mprime-x-15","IPC1998","mprime","strips-mprime-x-15",0,Inf,1,1,6,6,1,"NSG"
"94","IPC1998-mprime-strips-mprime-x-16","IPC1998","mprime","strips-mprime-x-16",1,11,1,1,5,4,1,"SGCP"
"95","IPC1998-mprime-strips-mprime-x-17","IPC1998","mprime","strips-mprime-x-17",1,4,1,1,4,4,0,"SGCNP"
"96","IPC1998-mprime-strips-mprime-x-18","IPC1998","mprime","strips-mprime-x-18",0,Inf,0,0,0,0,1,"NSNG"
"97","IPC1998-mprime-strips-mprime-x-19","IPC1998","mprime","strips-mprime-x-19",0,Inf,1,1,6,6,1,"NSG"
"98","IPC1998-mprime-strips-mprime-x-2","IPC1998","mprime","strips-mprime-x-2",1,9,1,1,5,5,1,"SGCP"
"99","IPC1998-mprime-strips-mprime-x-20","IPC1998","mprime","strips-mprime-x-20",0,Inf,0,0,0,0,1,"NSNG"
"100","IPC1998-mprime-strips-mprime-x-21","IPC1998","mprime","strips-mprime-x-21",1,7,0,0,0,0,1,"SNG"
"101","IPC1998-mprime-strips-mprime-x-22","IPC1998","mprime","strips-mprime-x-22",0,Inf,1,1,8,8,1,"NSG"
"102","IPC1998-mprime-strips-mprime-x-23","IPC1998","mprime","strips-mprime-x-23",0,Inf,1,1,8,8,1,"NSG"
"103","IPC1998-mprime-strips-mprime-x-24","IPC1998","mprime","strips-mprime-x-24",0,Inf,1,1,6,6,1,"NSG"
"104","IPC1998-mprime-strips-mprime-x-25","IPC1998","mprime","strips-mprime-x-25",1,4,1,1,4,4,0,"SGCNP"
"105","IPC1998-mprime-strips-mprime-x-26","IPC1998","mprime","strips-mprime-x-26",1,7,1,1,5,5,1,"SGCP"
"106","IPC1998-mprime-strips-mprime-x-27","IPC1998","mprime","strips-mprime-x-27",1,8,1,1,4,4,1,"SGCP"
"107","IPC1998-mprime-strips-mprime-x-28","IPC1998","mprime","strips-mprime-x-28",1,7,1,1,7,6,0,"SGCNP"
"108","IPC1998-mprime-strips-mprime-x-29","IPC1998","mprime","strips-mprime-x-29",1,5,1,1,4,4,1,"SGCP"
"109","IPC1998-mprime-strips-mprime-x-3","IPC1998","mprime","strips-mprime-x-3",1,4,1,1,4,4,0,"SGCNP"
"110","IPC1998-mprime-strips-mprime-x-30","IPC1998","mprime","strips-mprime-x-30",0,Inf,1,1,6,6,1,"NSG"
"111","IPC1998-mprime-strips-mprime-x-4","IPC1998","mprime","strips-mprime-x-4",1,9,1,1,7,7,1,"SGCP"
