"","com","planner","dom","gn","Class","Cfactor","Cresp","Ctran","R2","Dist","MahaDist","MahaOut","CookDist","CookOut","Disc"
"238","IPC1998","stan","movie","strips-movie-x-12",0,"D","Time","D^9vTime^0.4",0.812888386475125,0,0.684008316137166,0,0.000109843515269026,0,2
"239","IPC1998","blackbox","movie","strips-movie-x-12",0,"D","Time","D^9vTime^0.4",0.84440350776726,0,0.773520065560041,0,7.05030768797634e-05,0,0
"240","IPC1998","hsp","movie","strips-movie-x-12",0,"D","Time","D^9vTime^0.4",0.427294803533458,0,0.81436759006685,0,4.9887652081932e-05,0,2
"241","IPC1998","blackbox","movie","strips-movie-x-13",0,"D","Time","D^9vTime^0.4",0.84440350776726,0,0.78236558026659,0,2.05087781391922e-05,0,2
"242","IPC1998","hsp","movie","strips-movie-x-13",0,"D","Time","D^9vTime^0.4",0.427294803533458,0,0.833521850943963,0,0.000130472610173003,0,2
"243","IPC1998","ipp","movie","strips-movie-x-13",1,"D","Time","D^9vTime^0.4",0.816889806428509,-3.45026183087728,0.86918182453071,0,0.00350594410019352,0,0
"244","IPC1998","stan","movie","strips-movie-x-13",0,"D","Time","D^9vTime^0.4",0.812888386475125,0,0.685701235192057,0,2.02730149259959e-05,0,0
"245","IPC1998","hsp","movie","strips-movie-x-14",0,"D","Time","D^9vTime^0.4",0.427294803533458,0,0.845412283407589,0,2.44662837034223e-05,0,2
"246","IPC1998","blackbox","movie","strips-movie-x-14",0,"D","Time","D^9vTime^0.4",0.84440350776726,0,0.795583161227474,0,0.000114172225535759,0,2
"247","IPC1998","ipp","movie","strips-movie-x-14",2,"D","Time","D^9vTime^0.4",0.816889806428509,-5.08547340979639,1.09294507389837,0,0.0114487903932869,0,2
"248","IPC1998","stan","movie","strips-movie-x-14",0,"D","Time","D^9vTime^0.4",0.812888386475125,0,0.696214295814873,0,0.000151484349687514,0,0
"249","IPC1998","stan","movie","strips-movie-x-15",0,"D","Time","D^9vTime^0.4",0.812888386475125,0,0.721626658370667,0,0.00066660487575762,0,0
"250","IPC1998","blackbox","movie","strips-movie-x-15",0,"D","Time","D^9vTime^0.4",0.84440350776726,0,0.813957080972243,0,0.000382357400930635,0,2
"251","IPC1998","hsp","movie","strips-movie-x-15",0,"D","Time","D^9vTime^0.4",0.427294803533458,0,0.859245958115027,0,1.97811589290722e-06,0,0
"252","IPC1998","ipp","movie","strips-movie-x-15",1,"D","Time","D^9vTime^0.4",0.816889806428509,-4.29047146176441,0.901182700920669,0,0.00415874276044308,0,0
"253","IPC1998","stan","movie","strips-movie-x-16",0,"D","Time","D^9vTime^0.4",0.812888386475125,0,0.757182543952951,0,0.00148302937603634,0,0
"254","IPC1998","ipp","movie","strips-movie-x-16",2,"D","Time","D^9vTime^0.4",0.816889806428509,-19.6044428154286,1.58414067310414,0,0.0313738388196948,0,2
