com,dom,gn,fap,pl,gl
IPC2000,elevator,mixed-f12-p6-u0-v0-g0-a0-n0-a0-b0-n0-f0-r2,6,0,12
IPC2000,elevator,mixed-f12-p6-u0-v0-g0-a0-n0-a0-b0-n0-f0-r3,6,0,12
IPC2000,elevator,mixed-f12-p6-u0-v0-g0-a0-n0-a0-b0-n0-f0-r3,6,0,12
IPC2000,elevator,mixed-f12-p6-u0-v0-g0-a0-n0-a0-b0-n0-f0-r4,6,0,13
IPC2000,elevator,mixed-f12-p6-u0-v0-g0-a0-n0-a0-b0-n0-f0-r4,6,0,20
IPC2000,elevator,mixed-f14-p7-u0-v0-g0-a0-n0-a0-b0-n0-f0-r0,6,0,12
IPC2000,elevator,mixed-f14-p7-u0-v0-g0-a0-n0-a0-b0-n0-f0-r0,6,0,12
IPC2000,elevator,mixed-f14-p7-u0-v0-g0-a0-n0-a0-b0-n0-f0-r1,6,0,12
IPC2000,elevator,mixed-f14-p7-u0-v0-g0-a0-n0-a0-b0-n0-f0-r1,6,0,12
IPC2000,elevator,mixed-f14-p7-u0-v0-g0-a0-n0-a0-b0-n0-f0-r2,6,0,12
IPC2000,elevator,mixed-f14-p7-u0-v0-g0-a0-n0-a0-b0-n0-f0-r2,6,0,14
IPC2000,elevator,mixed-f14-p7-u0-v0-g0-a0-n0-a0-b0-n0-f0-r3,6,0,15
IPC2000,elevator,mixed-f14-p7-u0-v0-g0-a0-n0-a0-b0-n0-f0-r3,6,0,27
IPC2000,elevator,mixed-f14-p7-u0-v0-g0-a0-n0-a0-b0-n0-f0-r4,6,0,17
IPC2000,elevator,mixed-f14-p7-u0-v0-g0-a0-n0-a0-b0-n0-f0-r4,6,0,12
IPC2000,elevator,mixed-f16-p8-u0-v0-g0-a0-n0-a0-b0-n0-f0-r0,6,0,27
IPC2000,elevator,mixed-f16-p8-u0-v0-g0-a0-n0-a0-b0-n0-f0-r0,6,0,28
IPC2000,elevator,mixed-f16-p8-u0-v0-g0-a0-n0-a0-b0-n0-f0-r1,6,0,27
IPC2000,elevator,mixed-f16-p8-u0-v0-g0-a0-n0-a0-b0-n0-f0-r1,6,0,27
IPC2000,elevator,mixed-f16-p8-u0-v0-g0-a0-n0-a0-b0-n0-f0-r2,6,0,28
IPC2000,elevator,mixed-f16-p8-u0-v0-g0-a0-n0-a0-b0-n0-f0-r2,6,0,27
IPC2000,elevator,mixed-f16-p8-u0-v0-g0-a0-n0-a0-b0-n0-f0-r3,6,0,27
IPC2000,elevator,mixed-f16-p8-u0-v0-g0-a0-n0-a0-b0-n0-f0-r3,6,0,27
IPC2000,elevator,mixed-f16-p8-u0-v0-g0-a0-n0-a0-b0-n0-f0-r4,6,0,27
IPC2000,elevator,mixed-f16-p8-u0-v0-g0-a0-n0-a0-b0-n0-f0-r4,6,0,28
IPC2000,elevator,mixed-f18-p9-u0-v0-g0-a0-n0-a0-b0-n0-f0-r0,6,0,20
IPC2000,elevator,mixed-f18-p9-u0-v0-g0-a0-n0-a0-b0-n0-f0-r0,6,0,20
IPC2000,elevator,mixed-f18-p9-u0-v0-g0-a0-n0-a0-b0-n0-f0-r1,6,0,20
IPC2000,elevator,mixed-f18-p9-u0-v0-g0-a0-n0-a0-b0-n0-f0-r1,6,0,20
IPC2000,elevator,mixed-f18-p9-u0-v0-g0-a0-n0-a0-b0-n0-f0-r2,6,0,20
IPC2000,elevator,mixed-f18-p9-u0-v0-g0-a0-n0-a0-b0-n0-f0-r2,6,0,20
IPC2000,elevator,mixed-f18-p9-u0-v0-g0-a0-n0-a0-b0-n0-f0-r3,6,0,20
IPC2000,elevator,mixed-f18-p9-u0-v0-g0-a0-n0-a0-b0-n0-f0-r3,6,0,20
IPC2000,elevator,mixed-f18-p9-u0-v0-g0-a0-n0-a0-b0-n0-f0-r4,6,0,20
IPC2000,elevator,mixed-f18-p9-u0-v0-g0-a0-n0-a0-b0-n0-f0-r4,6,0,20
IPC2000,elevator,mixed-f20-p10-u0-v0-g0-a0-n0-a0-b0-n0-f0-r0,6,0,15
IPC2000,elevator,mixed-f20-p10-u0-v0-g0-a0-n0-a0-b0-n0-f0-r0,6,0,15
IPC2000,elevator,mixed-f20-p10-u0-v0-g0-a0-n0-a0-b0-n0-f0-r1,6,0,15
IPC2000,elevator,mixed-f20-p10-u0-v0-g0-a0-n0-a0-b0-n0-f0-r1,6,0,15
IPC2000,elevator,mixed-f20-p10-u0-v0-g0-a0-n0-a0-b0-n0-f0-r2,6,0,15
IPC2000,elevator,mixed-f20-p10-u0-v0-g0-a0-n0-a0-b0-n0-f0-r2,6,0,15
IPC2000,elevator,mixed-f20-p10-u0-v0-g0-a0-n0-a0-b0-n0-f0-r3,6,0,15
IPC2000,elevator,mixed-f20-p10-u0-v0-g0-a0-n0-a0-b0-n0-f0-r3,6,0,15
IPC2000,elevator,mixed-f20-p10-u0-v0-g0-a0-n0-a0-b0-n0-f0-r4,6,0,15
IPC2000,elevator,mixed-f20-p10-u0-v0-g0-a0-n0-a0-b0-n0-f0-r4,6,0,15
IPC2000,elevator,mixed-f22-p11-u0-v0-g0-a0-n0-a0-b0-n0-f0-r0,6,0,14
IPC2000,elevator,mixed-f22-p11-u0-v0-g0-a0-n0-a0-b0-n0-f0-r0,6,0,14
IPC2000,elevator,mixed-f22-p11-u0-v0-g0-a0-n0-a0-b0-n0-f0-r1,6,0,13
IPC2000,elevator,mixed-f22-p11-u0-v0-g0-a0-n0-a0-b0-n0-f0-r1,6,0,13
IPC2000,elevator,mixed-f22-p11-u0-v0-g0-a0-n0-a0-b0-n0-f0-r2,6,0,14
IPC2000,elevator,mixed-f22-p11-u0-v0-g0-a0-n0-a0-b0-n0-f0-r2,6,0,14
IPC2000,elevator,mixed-f22-p11-u0-v0-g0-a0-n0-a0-b0-n0-f0-r3,6,0,13
IPC2000,elevator,mixed-f22-p11-u0-v0-g0-a0-n0-a0-b0-n0-f0-r3,6,0,13
IPC2000,elevator,mixed-f22-p11-u0-v0-g0-a0-n0-a0-b0-n0-f0-r4,6,0,13
IPC2000,elevator,mixed-f22-p11-u0-v0-g0-a0-n0-a0-b0-n0-f0-r4,6,0,13
IPC2000,elevator,mixed-f24-p12-u0-v0-g0-a0-n0-a0-b0-n0-f0-r0,6,0,13
IPC2000,elevator,mixed-f24-p12-u0-v0-g0-a0-n0-a0-b0-n0-f0-r0,6,0,13
IPC2000,elevator,mixed-f24-p12-u0-v0-g0-a0-n0-a0-b0-n0-f0-r1,6,0,13
IPC2000,elevator,mixed-f24-p12-u0-v0-g0-a0-n0-a0-b0-n0-f0-r1,6,0,13
IPC2000,elevator,mixed-f24-p12-u0-v0-g0-a0-n0-a0-b0-n0-f0-r2,6,0,13
IPC2000,elevator,mixed-f24-p12-u0-v0-g0-a0-n0-a0-b0-n0-f0-r2,6,0,13
IPC2000,elevator,mixed-f24-p12-u0-v0-g0-a0-n0-a0-b0-n0-f0-r3,6,0,13
IPC2000,elevator,mixed-f24-p12-u0-v0-g0-a0-n0-a0-b0-n0-f0-r3,6,0,13
IPC2000,elevator,mixed-f24-p12-u0-v0-g0-a0-n0-a0-b0-n0-f0-r4,6,0,13
IPC2000,elevator,mixed-f24-p12-u0-v0-g0-a0-n0-a0-b0-n0-f0-r4,6,0,13
IPC2000,elevator,mixed-f26-p13-u0-v0-g0-a0-n0-a0-b0-n0-f0-r0,6,0,13
IPC2000,elevator,mixed-f26-p13-u0-v0-g0-a0-n0-a0-b0-n0-f0-r0,6,0,13
IPC2000,elevator,mixed-f26-p13-u0-v0-g0-a0-n0-a0-b0-n0-f0-r1,6,0,13
IPC2000,elevator,mixed-f26-p13-u0-v0-g0-a0-n0-a0-b0-n0-f0-r1,6,0,13
IPC2000,elevator,mixed-f26-p13-u0-v0-g0-a0-n0-a0-b0-n0-f0-r2,6,0,13
IPC2000,elevator,mixed-f26-p13-u0-v0-g0-a0-n0-a0-b0-n0-f0-r2,6,0,13
IPC2000,elevator,mixed-f26-p13-u0-v0-g0-a0-n0-a0-b0-n0-f0-r3,6,0,13
IPC2000,elevator,mixed-f26-p13-u0-v0-g0-a0-n0-a0-b0-n0-f0-r3,6,0,13
IPC2000,elevator,mixed-f26-p13-u0-v0-g0-a0-n0-a0-b0-n0-f0-r4,6,0,13
IPC2000,elevator,mixed-f26-p13-u0-v0-g0-a0-n0-a0-b0-n0-f0-r4,6,0,13
IPC2000,elevator,mixed-f28-p14-u0-v0-g0-a0-n0-a0-b0-n0-f0-r0,6,0,13
IPC2000,elevator,mixed-f28-p14-u0-v0-g0-a0-n0-a0-b0-n0-f0-r0,6,0,13
IPC2000,elevator,mixed-f28-p14-u0-v0-g0-a0-n0-a0-b0-n0-f0-r1,6,0,13
IPC2000,elevator,mixed-f28-p14-u0-v0-g0-a0-n0-a0-b0-n0-f0-r1,6,0,13
IPC2000,elevator,mixed-f28-p14-u0-v0-g0-a0-n0-a0-b0-n0-f0-r2,6,0,13
IPC2000,elevator,mixed-f28-p14-u0-v0-g0-a0-n0-a0-b0-n0-f0-r2,6,0,13
IPC2000,elevator,mixed-f28-p14-u0-v0-g0-a0-n0-a0-b0-n0-f0-r3,6,0,13
IPC2000,elevator,mixed-f28-p14-u0-v0-g0-a0-n0-a0-b0-n0-f0-r3,6,0,13
IPC2000,elevator,mixed-f28-p14-u0-v0-g0-a0-n0-a0-b0-n0-f0-r4,6,0,13
IPC2000,elevator,mixed-f28-p14-u0-v0-g0-a0-n0-a0-b0-n0-f0-r4,6,0,13
IPC2000,elevator,mixed-f2-p1-u0-v0-g0-a0-n0-a0-b0-n0-f0-r0,4,4,4
IPC2000,elevator,mixed-f2-p1-u0-v0-g0-a0-n0-a0-b0-n0-f0-r0,4,4,4
IPC2000,elevator,mixed-f2-p1-u0-v0-g0-a0-n0-a0-b0-n0-f0-r1,3,3,3
IPC2000,elevator,mixed-f2-p1-u0-v0-g0-a0-n0-a0-b0-n0-f0-r1,3,3,3
IPC2000,elevator,mixed-f2-p1-u0-v0-g0-a0-n0-a0-b0-n0-f0-r2,4,4,4
IPC2000,elevator,mixed-f2-p1-u0-v0-g0-a0-n0-a0-b0-n0-f0-r2,4,4,4
IPC2000,elevator,mixed-f2-p1-u0-v0-g0-a0-n0-a0-b0-n0-f0-r3,4,4,4
IPC2000,elevator,mixed-f2-p1-u0-v0-g0-a0-n0-a0-b0-n0-f0-r3,4,4,4
IPC2000,elevator,mixed-f2-p1-u0-v0-g0-a0-n0-a0-b0-n0-f0-r4,4,4,4
IPC2000,elevator,mixed-f2-p1-u0-v0-g0-a0-n0-a0-b0-n0-f0-r4,4,4,4
IPC2000,elevator,mixed-f30-p15-u0-v0-g0-a0-n0-a0-b0-n0-f0-r0,6,0,13
IPC2000,elevator,mixed-f30-p15-u0-v0-g0-a0-n0-a0-b0-n0-f0-r0,6,0,13
IPC2000,elevator,mixed-f30-p15-u0-v0-g0-a0-n0-a0-b0-n0-f0-r1,6,0,13
IPC2000,elevator,mixed-f30-p15-u0-v0-g0-a0-n0-a0-b0-n0-f0-r1,6,0,13
IPC2000,elevator,mixed-f30-p15-u0-v0-g0-a0-n0-a0-b0-n0-f0-r2,6,0,13
IPC2000,elevator,mixed-f30-p15-u0-v0-g0-a0-n0-a0-b0-n0-f0-r2,6,0,13
IPC2000,elevator,mixed-f30-p15-u0-v0-g0-a0-n0-a0-b0-n0-f0-r3,6,0,13
IPC2000,elevator,mixed-f30-p15-u0-v0-g0-a0-n0-a0-b0-n0-f0-r3,6,0,13
IPC2000,elevator,mixed-f30-p15-u0-v0-g0-a0-n0-a0-b0-n0-f0-r4,6,0,13
IPC2000,elevator,mixed-f30-p15-u0-v0-g0-a0-n0-a0-b0-n0-f0-r4,6,0,13
IPC2000,elevator,mixed-f32-p16-u0-v0-g0-a0-n0-a0-b0-n0-f0-r0,6,0,13
IPC2000,elevator,mixed-f32-p16-u0-v0-g0-a0-n0-a0-b0-n0-f0-r0,6,0,13
IPC2000,elevator,mixed-f32-p16-u0-v0-g0-a0-n0-a0-b0-n0-f0-r1,6,0,13
IPC2000,elevator,mixed-f32-p16-u0-v0-g0-a0-n0-a0-b0-n0-f0-r1,6,0,13
IPC2000,elevator,mixed-f32-p16-u0-v0-g0-a0-n0-a0-b0-n0-f0-r2,6,0,13
IPC2000,elevator,mixed-f32-p16-u0-v0-g0-a0-n0-a0-b0-n0-f0-r2,6,0,13
IPC2000,elevator,mixed-f32-p16-u0-v0-g0-a0-n0-a0-b0-n0-f0-r3,6,0,13
IPC2000,elevator,mixed-f32-p16-u0-v0-g0-a0-n0-a0-b0-n0-f0-r3,6,0,13
IPC2000,elevator,mixed-f32-p16-u0-v0-g0-a0-n0-a0-b0-n0-f0-r4,6,0,13
IPC2000,elevator,mixed-f32-p16-u0-v0-g0-a0-n0-a0-b0-n0-f0-r4,6,0,13
IPC2000,elevator,mixed-f34-p17-u0-v0-g0-a0-n0-a0-b0-n0-f0-r0,6,0,12
IPC2000,elevator,mixed-f34-p17-u0-v0-g0-a0-n0-a0-b0-n0-f0-r0,6,0,12
IPC2000,elevator,mixed-f34-p17-u0-v0-g0-a0-n0-a0-b0-n0-f0-r1,6,0,12
IPC2000,elevator,mixed-f34-p17-u0-v0-g0-a0-n0-a0-b0-n0-f0-r1,6,0,12
IPC2000,elevator,mixed-f34-p17-u0-v0-g0-a0-n0-a0-b0-n0-f0-r2,6,0,12
IPC2000,elevator,mixed-f34-p17-u0-v0-g0-a0-n0-a0-b0-n0-f0-r2,6,0,12
IPC2000,elevator,mixed-f34-p17-u0-v0-g0-a0-n0-a0-b0-n0-f0-r3,6,0,12
IPC2000,elevator,mixed-f34-p17-u0-v0-g0-a0-n0-a0-b0-n0-f0-r3,6,0,12
IPC2000,elevator,mixed-f34-p17-u0-v0-g0-a0-n0-a0-b0-n0-f0-r4,6,0,12
IPC2000,elevator,mixed-f34-p17-u0-v0-g0-a0-n0-a0-b0-n0-f0-r4,6,0,12
IPC2000,elevator,mixed-f36-p18-u0-v0-g0-a0-n0-a0-b0-n0-f0-r0,6,0,11
IPC2000,elevator,mixed-f36-p18-u0-v0-g0-a0-n0-a0-b0-n0-f0-r0,6,0,11
IPC2000,elevator,mixed-f36-p18-u0-v0-g0-a0-n0-a0-b0-n0-f0-r1,6,0,12
IPC2000,elevator,mixed-f36-p18-u0-v0-g0-a0-n0-a0-b0-n0-f0-r1,6,0,12
IPC2000,elevator,mixed-f36-p18-u0-v0-g0-a0-n0-a0-b0-n0-f0-r2,6,0,12
IPC2000,elevator,mixed-f36-p18-u0-v0-g0-a0-n0-a0-b0-n0-f0-r2,6,0,12
IPC2000,elevator,mixed-f36-p18-u0-v0-g0-a0-n0-a0-b0-n0-f0-r3,6,0,12
IPC2000,elevator,mixed-f36-p18-u0-v0-g0-a0-n0-a0-b0-n0-f0-r3,6,0,12
IPC2000,elevator,mixed-f36-p18-u0-v0-g0-a0-n0-a0-b0-n0-f0-r4,6,0,12
